Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
258,Saint Francis (PA),20,6,14,0.3,-18.9,-2.68,4,3,5,4,1,8,1402,1610,800,507,1209,0.419,161,475,0.339,227,321,0.707,205,665,280,154,50,256,357
259,Saint Joseph's,21,13,8,0.619,-0.87,-0.56,5,3,9,2,2,6,1580,1525,845,550,1279,0.43,163,555,0.294,317,418,0.758,260,826,326,125,108,255,312
260,Saint Louis,21,20,1,0.952,20.71,0.01,8,0,14,0,5,0,1908,1413,840,675,1306,0.517,232,587,0.395,326,440,0.741,239,903,405,156,70,257,393
261,Saint Mary's (CA),22,19,3,0.864,15.98,3.79,8,1,12,0,5,1,1729,1419,880,580,1245,0.466,167,444,0.376,402,496,0.81,264,872,338,122,74,246,346
262,Saint Peter's,18,11,7,0.611,-6.09,-6.44,8,2,9,1,2,6,1286,1214,725,432,1069,0.404,131,431,0.304,291,387,0.752,253,655,229,175,70,210,362
263,Sam Houston,21,14,7,0.667,4.65,1.15,6,4,7,1,5,6,1760,1550,840,636,1352,0.47,186,517,0.36,302,420,0.719,294,880,338,161,61,258,386
264,Samford,21,10,11,0.476,-8.22,-4.65,3,5,6,3,3,7,1626,1603,850,545,1250,0.436,199,591,0.337,337,501,0.673,203,763,318,98,67,183,334
265,San Diego,23,10,13,0.435,-2.15,2.85,4,6,8,5,2,7,1766,1796,925,628,1408,0.446,209,604,0.346,301,390,0.772,244,745,371,191,72,292,417
266,San Diego State,20,15,5,0.75,14.54,7.32,9,1,10,1,4,1,1618,1419,825,577,1193,0.484,144,380,0.379,320,426,0.751,214,729,319,166,88,257,373
267,San Francisco,23,13,10,0.565,6.12,3.26,5,5,8,2,2,6,1730,1622,930,585,1319,0.444,217,607,0.357,343,492,0.697,261,875,332,123,73,264,405
268,San Jose State,21,6,15,0.286,-3.9,5.8,1,9,5,6,0,8,1463,1603,845,506,1186,0.427,157,443,0.354,294,403,0.73,229,637,215,123,39,246,368
269,Santa Clara,23,18,5,0.783,15.48,4.34,9,1,12,0,4,2,1902,1627,920,702,1488,0.472,224,666,0.336,274,379,0.723,304,836,402,210,100,273,454
270,Seattle,23,14,9,0.609,4.25,2.68,3,7,10,3,3,5,1690,1548,925,602,1350,0.446,169,506,0.334,317,452,0.701,221,771,317,194,112,273,388
271,Seton Hall,21,15,6,0.714,13.87,5.87,5,5,9,3,4,2,1517,1349,840,536,1250,0.429,106,340,0.312,339,468,0.724,286,786,282,203,118,230,407
272,Siena,21,14,7,0.667,-3.15,-8.86,7,3,6,3,6,4,1484,1364,840,544,1189,0.458,119,380,0.313,277,375,0.739,229,730,285,138,60,215,290
273,South Alabama,20,14,6,0.7,-6.08,-8.19,5,3,5,2,6,4,1495,1375,815,527,1131,0.466,130,388,0.335,311,464,0.67,183,734,224,167,50,187,234
274,South Carolina,21,11,10,0.524,7.76,4.9,2,6,10,4,1,4,1615,1555,850,546,1219,0.448,176,558,0.315,347,439,0.79,194,710,297,114,53,216,356
275,South Carolina State,21,5,16,0.238,-23.73,-4.99,3,2,4,3,1,13,1384,1720,840,480,1181,0.406,131,381,0.344,293,461,0.636,241,665,245,140,73,313,465
276,South Carolina Upstate,22,9,13,0.409,-9.79,-4.48,1,6,6,4,3,9,1665,1611,890,594,1339,0.444,164,479,0.342,313,457,0.685,242,821,281,136,101,260,404
277,South Dakota,22,11,11,0.5,-9.17,-3.85,3,4,9,3,1,8,1807,1819,890,610,1324,0.461,159,447,0.356,428,575,0.744,267,771,269,149,54,282,348
278,South Dakota State,22,10,12,0.455,-1.87,-1.5,3,4,7,1,2,7,1674,1595,885,601,1300,0.462,177,525,0.337,295,428,0.689,247,818,323,137,55,257,364
279,South Florida,21,14,7,0.667,11.63,3.08,6,2,8,2,5,2,1892,1660,860,619,1405,0.441,213,632,0.337,441,602,0.733,331,915,368,194,101,243,437
280,Southeast Missouri State,21,11,10,0.524,-7.31,-5.25,6,4,7,4,3,6,1589,1526,840,574,1256,0.457,138,461,0.299,303,449,0.675,210,697,282,145,67,254,415
281,Southeastern Louisiana,21,6,15,0.286,-7.61,-1.71,3,9,3,5,1,10,1371,1463,845,457,1134,0.403,126,458,0.275,331,471,0.703,217,687,245,159,62,273,402
